marca,modelo,tipo_dnrpa,tipo_sistema
BMW,F 700 GS,MOTOCICLETA,Moto
BMW,F 750 GS,MOTOCICLETA,Moto
BMW,F 800 GS,MOTOCICLETA,Moto
BMW,F 800 GS ADVENTURE,MOTOCICLETA,Moto
BMW,F 800 R,MOTOCICLETA,Moto
BMW,F 850 GS,MOTOCICLETA,Moto
BMW,F 900 GS,MOTOCICLETA,Moto
BMW,F 900 GS ADVENTURE,MOTOCICLETA,Moto
BMW,F 900 GS-P,MOTOCICLETA,Moto
BMW,F650,MOTOCICLETA,Moto
BMW,F650 CS,MOTOCICLETA,Moto
BMW,F800ST,MOTOCICLETA,Moto
BMW,G 310 GS,MOTOCICLETA,Moto
BMW,G 450 X,MOTOCICLETA,Moto
BMW,G 650 GS,MOTOCICLETA,Moto
BMW,G310R,MOTOCICLETA,Moto
BMW,G650 X CHALLENGE,MOTOCICLETA,Moto
BMW,G650 X COUNTRY,MOTOCICLETA,Moto
BMW,G650GS SERTAO,MOTOCICLETA,Moto
BMW,GR 1200,MOTOCICLETA,Moto
BMW,K1200 R,MOTOCICLETA,Moto
BMW,K1200GT,MOTOCICLETA,Moto
BMW,K1200LT,MOTOCICLETA,Moto
BMW,K1200S,MOTOCICLETA,Moto
BMW,K1300GT,MOTOCICLETA,Moto
BMW,K1300R,MOTOCICLETA,Moto
BMW,K1600B,MOTOCICLETA,Moto
BMW,K1600GT,MOTOCICLETA,Moto
BMW,K1600GTL,MOTOCICLETA,Moto
BMW,K1600GTL EXCLUSIVE,MOTOCICLETA,Moto
BMW,M 1000 RR,MOTOCICLETA,Moto
BMW,M 1000 XR,MOTOCICLETA,Moto
BMW,R 1100 GS,MOTOCICLETA,Moto
BMW,R 1100 R,MOTOCICLETA,Moto
BMW,R 1100 RS,MOTOCICLETA,Moto
BMW,R 1100 RT,MOTOCICLETA,Moto
BMW,R 1150 RT,MOTOCICLETA,Moto
BMW,R 1250 GS,MOTOCICLETA,Moto
BMW,R 1250 GS ADVENTURE,MOTOCICLETA,Moto
BMW,R 1250 RT,MOTOCICLETA,Moto
BMW,R 1300 GS,MOTOCICLETA,Moto
BMW,R 1300 GS ADVENTURE,MOTOCICLETA,Moto
BMW,R 18,MOTOCICLETA,Moto
BMW,R 18 CLASSIC,MOTOCICLETA,Moto
BMW,R NINE T,MOTOCICLETA,Moto
BMW,R NINE T PURE,MOTOCICLETA,Moto
BMW,R NINE T RACER,MOTOCICLETA,Moto
BMW,R NINE T SCRAMBLER,MOTOCICLETA,Moto
BMW,R NINE T URBAN G/S,MOTOCICLETA,Moto
BMW,R1100S,MOTOCICLETA,Moto
BMW,R1150 GS ADVENTURE,MOTOCICLETA,Moto
BMW,R1150GS,MOTOCICLETA,Moto
BMW,R1150R,MOTOCICLETA,Moto
BMW,R1200,MOTOCICLETA,Moto
BMW,R1200C,MOTOCICLETA,Moto
BMW,R1200C INDEPENDENT,MOTOCICLETA,Moto
BMW,R1200CL,MOTOCICLETA,Moto
BMW,R1200GS,MOTOCICLETA,Moto
BMW,R1200GS ADVENTURE,MOTOCICLETA,Moto
BMW,R1200R,MOTOCICLETA,Moto
BMW,R1200RS,MOTOCICLETA,Moto
BMW,R1200RT,MOTOCICLETA,Moto
BMW,S1000R,MOTOCICLETA,Moto
BMW,S1000RR,MOTOCICLETA,Moto
BMW,S1000XR,MOTOCICLETA,Moto
BRAVA,ALPINA 110,MOTOCICLETA,Moto
BRAVA,ALPINA 125,MOTOCICLETA,Moto
BRAVA,ALTINO 150,MOTOCICLETA,Moto
BRAVA,ALTINO 180,MOTOCICLETA,Moto
BRAVA,ALTINO 200,MOTOCICLETA,Moto
BRAVA,APOLO 110,MOTOCICLETA,Moto
BRAVA,AQUILA 200,MOTOCICLETA,Moto
BRAVA,ATHENE 125,MOTOCICLETA,Moto
BRAVA,DAYSTAR 250,MOTOCICLETA,Moto
BRAVA,DAYSTAR ROUTIER 250,MOTOCICLETA,Moto
BRAVA,ELEKTRA 150,MOTOCICLETA,Moto
BRAVA,LAZER 70,MOTOCICLETA,Moto
BRAVA,NEVADA 100,MOTOCICLETA,Moto
BRAVA,NEVADA 110,MOTOCICLETA,Moto
BRAVA,NEVADA 110 SP,MOTOCICLETA,Moto
BRAVA,NEVADA 125,MOTOCICLETA,Moto
BRAVA,NEVADA 125 SP,MOTOCICLETA,Moto
BRAVA,TEXANA HS 200,MOTOCICLETA,Moto
BRAVA,TEXANA HS 250,MOTOCICLETA,Moto
BRAVA,WINSTAR 150,MOTONETA / SCOOTER / SCOOTER,Moto
CECCATO,ANDINA 300,MOTOCICLETA,Moto
CERRO,BIX CE 110-21,MOTOCICLETA,Moto
CERRO,BIX CE110-21,MOTOCICLETA,Moto
